District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Abby Kelley Foster Charter Public (District),04450000,"     1,440",     2.9,     1.7,"     1,429",    97.8
Abington,00010000,"     2,126",     7.3,     4.4,"     2,055",    95.9
Academy Of the Pacific Rim Charter Public (District),04120000,       538,     8.9,     5.9,       522,    93.9
Acton-Boxborough,06000000,"     5,726",     3.8,     2.4,"     5,609",    98.2
Acushnet,00030000,       991,     6.0,     3.9,       964,    96.7
Adams-Cheshire,06030000,"     1,283",    11.4,     6.2,"     1,226",    92.7
Advanced Math and Science Academy Charter (District),04300000,"     1,000",     3.2,     1.6,       993,    97.5
Agawam,00050000,"     4,015",     6.9,     3.4,"     3,898",    95.9
Alma del Mar Charter School (District),04090000,       419,     6.0,     1.4,       415,    94.9
Amesbury,00070000,"     2,239",     7.8,     3.3,"     2,186",    94.7
Amherst,00080000,"     1,221",    12.0,     7.4,"     1,152",    93.5
Amherst-Pelham,06050000,"     1,390",     7.3,     3.5,"     1,351",    95.4
Andover,00090000,"     6,092",     4.5,     2.9,"     5,942",    98.0
Argosy Collegiate Charter School (District),35090000,       418,    11.2,     5.5,       403,    92.1
Arlington,00100000,"     5,882",     5.9,     3.3,"     5,723",    96.7
Ashburnham-Westminster,06100000,"     2,436",     4.6,     2.3,"     2,394",    97.1
Ashland,00140000,"     2,850",     6.4,     4.0,"     2,762",    96.6
Assabet Valley Regional Vocational Technical,08010000,"     1,124",     3.6,     1.3,"     1,117",    97.0
Athol-Royalston,06150000,"     1,612",    17.8,    12.2,"     1,528",    86.7
Atlantis Charter (District),04910000,"     1,232",     6.2,     4.2,"     1,213",    95.3
Attleboro,00160000,"     6,222",    10.2,     6.3,"     5,988",    94.2
Auburn,00170000,"     2,668",     6.1,     4.4,"     2,610",    96.0
Avon,00180000,       759,     9.0,     4.9,       730,    94.7
Ayer Shirley School District,06160000,"     1,775",     8.1,     4.1,"     1,723",    94.8
Barnstable,00200000,"     5,212",    11.7,     7.0,"     4,955",    93.1
