District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Abby Kelley Foster Charter Public (District),04450000,       819,     3.4,     2.2,       812,    97.4
Abington,00010000,       810,    13.7,     8.4,       760,    92.0
Academy Of the Pacific Rim Charter Public (District),04120000,       356,     9.0,     5.9,       345,    93.9
Acton-Boxborough,06000000,"     1,515",     8.4,     5.1,"     1,445",    96.1
Acushnet,00030000,       385,    10.9,     7.3,       368,    93.2
Adams-Cheshire,06030000,       799,    15.5,     8.5,       749,    90.1
Advanced Math and Science Academy Charter (District),04300000,       218,     5.0,     1.4,       216,    95.8
Agawam,00050000,"     1,815",    11.5,     6.2,"     1,716",    93.8
Alma del Mar Charter School (District),04090000,       311,     5.5,     1.6,       308,    95.5
Amesbury,00070000,       907,    14.0,     6.2,       865,    90.6
Amherst,00080000,       663,    19.6,    11.9,       599,    89.5
Amherst-Pelham,06050000,       575,    13.9,     7.1,       542,    91.3
Andover,00090000,"     1,792",     9.0,     5.9,"     1,703",    96.1
Argosy Collegiate Charter School (District),35090000,       295,    13.2,     5.8,       283,    90.5
Arlington,00100000,"     1,629",    12.5,     7.6,"     1,525",    93.5
Ashburnham-Westminster,06100000,       815,     9.2,     4.7,       786,    94.3
Ashland,00140000,       921,    13.5,     8.6,       860,    92.7
Assabet Valley Regional Vocational Technical,08010000,       565,     5.0,     1.4,       562,    95.6
Athol-Royalston,06150000,"     1,061",    20.9,    14.1,       995,    84.3
Atlantis Charter (District),04910000,       712,     7.9,     5.6,       697,    94.1
Attleboro,00160000,"     3,011",    15.5,     9.7,"     2,823",    91.3
Auburn,00170000,       838,    12.9,     9.1,       794,    91.9
Avon,00180000,       344,    12.8,     7.3,       324,    92.6
Ayer Shirley School District,06160000,       759,    13.3,     7.2,       724,    91.0
Barnstable,00200000,"     2,683",    17.6,    10.7,"     2,480",    89.5
Barnstable Community Horace Mann Charter Public (District),04270000,       185,     3.8,     0.0,       185,    96.2
Baystate Academy Charter Public School (District),35020000,       377,     9.3,     4.5,       361,    94.7
Bedford,00230000,       818,     9.8,     5.6,       780,    94.6
Belchertown,00240000,       827,    10.8,     5.6,       790,    93.4
Bellingham,00250000,       902,    12.2,     5.2,       862,    92.3
Belmont,00260000,"     1,161",     9.6,     6.1,"     1,108",    94.7
Benjamin Banneker Charter Public (District),04200000,       234,     6.4,     4.3,       231,    94.8
Benjamin Franklin Classical Charter Public (District),04470000,       116,     7.8,     1.7,       114,    93.9
Bentley Academy Charter School (District),35110000,       243,    19.3,    12.3,       241,    81.3
Berkley,00270000,       287,     6.3,     3.5,       281,    95.7
Berkshire Arts and Technology Charter Public (District),04140000,       214,    14.0,     4.2,       208,    88.5
Berkshire Hills,06180000,       556,    10.6,     6.8,       530,    93.8
Berlin,00280000,        63,     9.5,     6.3,        61,    93.4
Berlin-Boylston,06200000,       176,     7.4,     1.7,       175,    93.1
Beverly,00300000,"     1,979",    11.6,     6.9,"     1,881",    93.4
Billerica,00310000,"     1,669",    13.5,     7.3,"     1,602",    90.4
Blackstone Valley Regional Vocational Technical,08050000,       250,     2.4,     1.2,       249,    98.0
Blackstone-Millville,06220000,       677,     8.3,     2.5,       666,    93.4
Blue Hills Regional Vocational Technical,08060000,       414,     3.9,     0.2,       413,    96.4
Boston,00350000,"    44,707",    23.6,    15.7,"    41,861",    83.8
Boston Collegiate Charter (District),04490000,       344,     9.3,     5.2,       339,    92.0
