District Name,District Code,High Needs ,High Needs Percent,Economically Disadvantaged,Economically Disadvantaged Percent
Abby Kelley Foster Charter Public (District),04450000,802,56.3,552,38.7
Abington,00010000,835,38.4,523,24.4
Academy Of the Pacific Rim Charter Public (District),04120000,348,66,218,41.4
Acton-Boxborough,06000000,1511,27.5,382,7.1
Acushnet,00030000,361,35.2,260,25.7
Advanced Math and Science Academy Charter (District),04300000,231,24,82,8.5
Agawam,00050000,1570,42.4,1105,30.1
Alma del Mar Charter School (District),04090000,508,77.8,387,59.3
Amesbury,00070000,783,38.2,465,23.1
Amherst,00080000,537,49,346,31.7
Amherst-Pelham,06050000,552,40.6,358,26.6
Andover,00090000,1835,30.9,501,8.6
Argosy Collegiate Charter School (District),35090000,396,75.4,307,58.5
Arlington,00100000,1623,26.5,476,7.9
Ashburnham-Westminster,06100000,733,31,368,15.6
Ashland,00140000,989,34.3,446,15.7
Assabet Valley Regional Vocational Technical,08010000,599,52.5,330,28.9
Athol-Royalston,06150000,974,63.1,821,54
Atlantis Charter (District),04910000,746,57.3,565,43.4
Attleboro,00160000,2667,44.3,1821,30.4
Auburn,00170000,801,30.2,513,19.5
Avon,00180000,326,44.7,212,29.2
Ayer Shirley School District,06160000,711,41.4,431,25.6
Barnstable,00200000,2714,53.4,1851,36.7
Baystate Academy Charter Public School (District),35020000,349,75.4,307,66.3
Bedford,00230000,858,31.4,250,9.3
Belchertown,00240000,742,32.9,427,19.1
Bellingham,00250000,800,36.8,438,20.5
Belmont,00260000,1330,27.7,335,7.1
Benjamin Banneker Charter Public (District),04200000,195,58,165,49.1
Benjamin Franklin Classical Charter Public (District),04470000,204,28.8,71,10
Bentley Academy Charter School (District),35110000,256,77.1,228,68.7
Berkley,00270000,273,29.7,169,18.5
Berkshire Arts and Technology Charter Public (District),04140000,206,55.4,167,44.9
Berkshire Hills,06180000,514,42.9,364,30.7
Berlin-Boylston,06200000,299,28.3,134,12.8
Beverly,00300000,1917,40.1,1234,26.3
Billerica,00310000,1612,33.2,838,17.5
Blackstone Valley Regional Vocational Technical,08050000,228,18.6,117,9.6
Blackstone-Millville,06220000,644,38.7,404,24.6
Blue Hills Regional Vocational Technical,08060000,404,47.2,220,25.7
Boston,00350000,39011,76.7,29419,58.3
Boston Collegiate Charter (District),04490000,344,49.6,210,30.3
Boston Day and Evening Academy Charter (District),04240000,329,79.5,269,65
Boston Green Academy Horace Mann Charter School (District),04110000,392,78.4,304,60.8
Boston Preparatory Charter Public (District),04160000,428,73.7,295,50.8
Boston Renaissance Charter Public (District),04810000,607,65.3,497,53.4
Bourne,00360000,736,38.3,510,26.7
Boxford,00380000,161,21.4,41,5.5
Braintree,00400000,2298,39.3,1059,18.3
Brewster,00410000,194,41.2,143,30.4
Bridge Boston Charter School (District),04170000,272,81.4,210,62.9
Bridgewater-Raynham,06250000,1664,30.6,957,17.7
Brimfield,00430000,108,35.8,68,22.7
Bristol County Agricultural,09100000,155,34.4,114,25.3
Bristol-Plymouth Regional Vocational Technical,08100000,535,41,360,27.6
Brockton,00440000,11815,73.4,9212,57.5
Brooke Charter School (District),04280000,1180,59.9,916,46.5
Brookfield,00450000,121,39.4,98,31.9
Brookline,00460000,2841,36.2,713,9.2
Burlington,00480000,1051,29.2,445,12.7
Cambridge,00490000,3379,46.7,1975,27.9
Canton,00500000,856,25.6,478,14.5
Cape Cod Lighthouse Charter (District),04320000,82,34.3,39,16.3
Cape Cod Regional Vocational Technical,08150000,365,59.3,238,38.6
Carlisle,00510000,158,26.1,26,4.4
Carver,00520000,606,38.1,377,23.9
Central Berkshire,06350000,607,38.5,475,30.4
