District Name,District Code,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,Free Lunch #,Free Lunch %,Reduced Lunch #,Reduced Lunch %,High Needs #,High Needs #,Economically Disadvantaged #,Economically Disadvantaged %
Abby Kelley Foster Charter Public (District),04450000,925,64.9,157,11,175,12.3,,,,,,,802,56.3,552,38.7
Abington,00010000,272,12.7,144,6.7,351,16.2,,,,,,,835,38.4,523,24.4
Academy Of the Pacific Rim Charter Public (District),04120000,171,32.4,60,11.4,133,25.2,,,,,,,348,66,218,41.4
Acton-Boxborough,06000000,1119,20.7,279,5.2,866,15.7,,,,,,,1511,27.5,382,7.1
Acushnet,00030000,13,1.3,9,0.9,142,13.9,,,,,,,361,35.2,260,25.7
Advanced Math and Science Academy Charter (District),04300000,237,24.6,32,3.3,61,6.3,,,,,,,231,24,82,8.5
Agawam,00050000,427,11.6,168,4.6,599,16.2,,,,,,,1570,42.4,1105,30.1
Alma del Mar Charter School (District),04090000,303,46.4,202,30.9,115,17.6,,,,,,,508,77.8,387,59.3
Amesbury,00070000,77,3.8,41,2,468,22.8,,,,,,,783,38.2,465,23.1
Amherst,00080000,340,31.1,179,16.4,233,21.3,,,,,,,537,49,346,31.7
Amherst-Pelham,06050000,258,19.2,99,7.4,289,21.3,,,,,,,552,40.6,358,26.6
Andover,00090000,963,16.4,181,3.1,1232,20.7,,,,,,,1835,30.9,501,8.6
Argosy Collegiate Charter School (District),35090000,187,35.6,130,24.8,94,17.9,,,,,,,396,75.4,307,58.5
Arlington,00100000,770,12.7,293,4.8,974,15.9,,,,,,,1623,26.5,476,7.9
Ashburnham-Westminster,06100000,87,3.7,39,1.7,448,18.9,,,,,,,733,31,368,15.6
Ashland,00140000,742,26,191,6.7,509,17.7,,,,,,,989,34.3,446,15.7
Assabet Valley Regional Vocational Technical,08010000,173,15.2,44,3.9,308,27,,,,,,,599,52.5,330,28.9
Athol-Royalston,06150000,54,3.6,32,2.1,384,24.9,,,,,,,974,63.1,821,54
Atlantis Charter (District),04910000,325,25,167,12.8,177,13.6,,,,,,,746,57.3,565,43.4
Attleboro,00160000,837,14,323,5.4,1003,16.7,,,,,,,2667,44.3,1821,30.4
