School Name,School Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,   3.4,   1.8,   6.7,   1.7,   3.5,   3.4,   4.2,   6.2,  13.6,   4.6,   6.3,   2.3,   4.9
Abington - Abington Early Education Program,00010001,,,,,,,,,,,,,
Abington - Abington High,00010505,,,,,,,,,,   2.5,   2.0,   5.0,   3.0
Abington - Abington Middle School,00010405,,,,,,   1.2,   3.7,   3.7,,,,,   2.9
Abington - Beaver Brook Elementary,00010020,   6.5,   3.5,,,,,,,,,,,   5.1
Abington - Woodsdale Elementary School,00010015,,,,   5.5,,,,,,,,,   5.5
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,,,,,,  10.0,  17.7,   8.0,  15.1,  11.0,   4.5,   4.4,  10.6
Acton-Boxborough - Acton-Boxborough Regional High,06000505,,,,,,,,,,   2.6,   3.5,   0.9,   2.3
Acton-Boxborough - Blanchard Memorial School,06000005,   4.1,   3.5,   6.5,   4.7,   4.8,   9.3,,,,,,,   5.2
Acton-Boxborough - C.T. Douglas Elementary School,06000020,   2.4,   2.4,  11.6,  10.0,   7.2,   7.0,,,,,,,   7.1
Acton-Boxborough - Carol Huebner Early Childhood Program,06000001,,,,,,,,,,,,,
Acton-Boxborough - Luther Conant School,06000030,   5.2,   1.6,   9.4,   0.0,   4.2,   4.1,,,,,,,   4.2
Acton-Boxborough - McCarthy-Towne School,06000015,   9.8,   9.5,   6.1,   4.3,   6.8,   2.3,,,,,,,   6.3
Acton-Boxborough - Merriam School,06000010,   6.7,   5.0,   3.2,   8.5,   2.8,   4.2,,,,,,,   5.0
Acton-Boxborough - Paul P Gates Elementary School,06000025,   5.1,  16.7,   6.6,   7.2,   2.9,   8.5,,,,,,,   7.4
Acton-Boxborough - Raymond J Grey Junior High,06000405,,,,,,,,   2.3,,,,,   2.3
Acushnet - Acushnet Elementary School,00030025,   4.9,   3.7,   1.3,   3.7,,,,,,,,,   3.6
Acushnet - Albert F Ford Middle School,00030305,,,,,,   4.0,   0.0,   5.7,,,,,   3.3
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,,,,,,,   2.8,   2.1,   8.3,   3.1,   6.0,   0.0,   3.9
Agawam - Agawam Early Childhood Center,00050003,,,,,,,,,,,,,
Agawam - Agawam High,00050505,,,,,,,,,,   4.8,   4.3,   1.2,   3.4
Agawam - Agawam Junior High,00050405,,,,,,,,   2.1,,,,,   2.1
Agawam - Benjamin J Phelps,00050020,   5.4,  12.3,   2.4,   5.2,,,,,,,,,   6.3
Agawam - Clifford M Granger,00050010,   0.0,  11.1,   0.0,   4.3,,,,,,,,,   3.1
Agawam - James Clark School,00050030,   7.7,   6.6,   8.1,   5.8,,,,,,,,,   7.0
Agawam - Roberta G. Doering School,00050303,,,,,,   2.9,,,,,,,   3.2
Agawam - Robinson Park,00050025,   2.6,   6.1,   5.2,   3.8,,,,,,,,,   4.3
Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,   3.8,   3.8,   0.0,   4.0,   8.2,  10.0,   4.1,   2.2,,,,,   4.5
Amesbury - Amesbury Elementary,00070005,  11.1,   2.9,   9.1,   4.5,,,,,,,,,   6.6
Amesbury - Amesbury High,00070505,,,,,,,,,,   7.1,   2.2,   1.4,   3.5
Amesbury - Amesbury Innovation High School,00070515,,,,,,,,,,  21.4,   0.0,   7.1,  10.3
Amesbury - Amesbury Middle,00070013,,,,,,   3.8,   4.5,   3.6,,,,,   4.0
Amesbury - Charles C Cashman Elementary,00070010,   9.5,   6.8,   1.3,   2.2,,,,,,,,,   4.6
Amherst - Crocker Farm Elementary,00080009,  12.1,   9.8,  12.2,   7.8,   7.7,   5.0,,,,,,,   8.9
Amherst - Fort River Elementary,00080020,   5.4,  12.1,   7.8,  14.3,  11.6,   4.3,,,,,,,   9.1
Amherst - Wildwood Elementary,00080050,  14.3,  13.1,  17.3,  16.9,  11.3,  20.3,,,,,,,  15.7
Amherst-Pelham - Amherst Regional High,06050505,,,,,,,,,,   2.6,   6.0,   0.9,   3.2
Amherst-Pelham - Amherst Regional Middle School,06050405,,,,,,,,   7.5,,,,,   7.5
Andover - Andover High,00090505,,,,,,,,,,   3.5,   2.8,   0.9,   2.5
Andover - Andover West Middle,00090310,,,,,,,   1.8,   4.0,,,,,   2.9
Andover - Bancroft Elementary,00090003,   4.6,   6.1,   2.2,   5.8,   6.5,,,,,,,,   5.1
Andover - Doherty Middle,00090305,,,,,,,   4.9,   4.8,,,,,   4.9
Andover - Henry C Sanborn Elementary,00090010,  15.5,   5.8,   4.8,   2.9,   7.9,,,,,,,,   7.2
Andover - High Plain Elementary,00090004,   7.4,   6.3,   6.0,   8.0,   3.3,,,,,,,,   6.2
Andover - Shawsheen School,00090005,,,,,,,,,,,,,
Andover - South Elementary,00090020,   1.3,   5.1,   6.2,   5.4,   2.9,,,,,,,,   4.3
Andover - West Elementary,00090025,   8.5,   5.9,   4.8,   4.0,   4.4,,,,,,,,   5.4
Andover - Wood Hill Middle School,00090350,,,,,,,   6.7,   4.6,,,,,   5.6
Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,,,,,,,   7.5,   8.1,  46.9,  17.9,   6.5,,  18.8
Arlington - Arlington High,00100505,,,,,,,,,,   4.4,   6.1,   3.1,   4.5
Arlington - Brackett,00100010,   2.9,   4.8,   4.3,   1.5,   1.0,,,,,,,,   2.9
Arlington - Cyrus E Dallin,00100025,   4.8,   5.4,   4.4,   4.1,   3.8,,,,,,,,   4.5
Arlington - Gibbs School,00100305,,,,,,,,,,,,,
Arlington - Hardy,00100030,   9.9,   7.6,  10.6,   2.7,   4.2,,,,,,,,   7.2
Arlington - John A Bishop,00100005,   8.8,   8.5,   4.2,   9.6,   6.9,,,,,,,,   7.7
Arlington - M Norcross Stratton,00100055,   4.8,   2.6,   4.3,   8.1,   3.2,,,,,,,,   4.6
Arlington - Menotomy Preschool,00100038,,,,,,,,,,,,,
Arlington - Ottoson Middle,00100410,,,,,,,,   4.8,,,,,   4.8
Arlington - Peirce,00100045,  13.1,   0.0,   4.9,   8.7,   0.0,,,,,,,,   5.5
Arlington - Thompson,00100050,   8.4,   9.6,   5.2,   5.5,   6.9,,,,,,,,   7.0
Ashburnham-Westminster - Briggs Elementary,06100025,   5.4,   6.8,   2.7,   9.9,   6.7,,,,,,,,   6.3
Ashburnham-Westminster - Meetinghouse School,06100010,   3.8,,,,,,,,,,,,   3.8
Ashburnham-Westminster - Oakmont Regional High School,06100505,,,,,,,,,,   6.2,   2.3,   1.8,   3.3
Ashburnham-Westminster - Overlook Middle School,06100305,,,,,,,   4.3,   1.6,,,,,   3.0
Ashburnham-Westminster - Westminster Elementary,06100005,,,   2.2,   3.0,   1.1,,,,,,,,   2.1
Ashland - Ashland High,00140505,,,,,,,,,,   3.6,   2.8,   0.5,   2.3
Ashland - Ashland Middle,00140405,,,,,,,   3.2,   6.7,,,,,   4.9
Ashland - David Mindess,00140015,,,,   2.6,   3.1,,,,,,,,   2.9
Ashland - Henry E Warren Elementary,00140010,   6.6,   4.1,,,,,,,,,,,   5.4
Ashland - William Pittaway Elementary,00140005,,,,,,,,,,,,,
Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,,,,,,,,,,   1.0,   3.9,   1.5,   2.1
Athol-Royalston - Athol Community Elementary School,06150020,   7.5,   5.9,  10.8,   6.3,,,,,,,,,   7.7
Athol-Royalston - Athol High,06150505,,,,,,,,,,  14.0,   3.7,   5.9,   7.9
Athol-Royalston - Athol-Royalston Middle School,06150305,,,,,,   3.8,  11.2,   5.1,,,,,   6.6
Athol-Royalston - Royalston Community School,06150050,   4.8,   9.5,  10.5,   4.0,  10.5,  17.6,,,,,,,   9.0
Atlantis Charter (District) - Atlantis Charter School,04910550,   0.9,   0.9,   4.6,   0.9,   3.6,   1.8,   5.5,   5.5,  49.1,  15.4,   2.4,   6.2,   8.0
Attleboro - A. Irvin Studley Elementary School,00160001,  16.3,   9.7,  10.8,   6.7,,,,,,,,,  10.8
Attleboro - Attleboro Community Academy,00160515,,,,,,,,,,,  14.3,   5.9,  12.5
Attleboro - Attleboro High,00160505,,,,,,,,,,   5.4,   2.9,   3.9,   4.1
Attleboro - Cyril K. Brennan Middle School,00160315,,,,,,   5.8,   8.4,   4.1,,,,,   6.2
Attleboro - Early Learning Center,00160008,,,,,,,,,,,,,
Attleboro - Hill-Roberts Elementary School,00160045,  10.2,   8.4,   4.2,   7.6,,,,,,,,,   7.5
Attleboro - Hyman Fine Elementary School,00160040,  11.8,   4.4,   7.6,   5.8,,,,,,,,,   7.3
Attleboro - Peter Thacher Elementary School,00160050,   7.7,   6.4,   9.6,  12.0,,,,,,,,,   8.9
Attleboro - Robert J. Coelho Middle School,00160305,,,,,,   7.2,   4.1,   1.7,,,,,   4.3
Attleboro - Thomas Willett Elementary School,00160035,  16.7,   8.5,  11.1,   4.7,,,,,,,,,  10.0
Attleboro - Wamsutta Middle School,00160320,,,,,,   4.6,   6.8,   7.4,,,,,   6.3
Auburn - Auburn Middle,00170305,,,,,,,   3.0,   1.0,,,,,   2.0
Auburn - Auburn Senior High,00170505,,,,,,,,,,   4.6,   6.5,   0.6,   3.9
Auburn - Bryn Mawr,00170010,   7.6,   6.3,,,,,,,,,,,   6.9
Auburn - Pakachoag School,00170025,   6.1,   7.9,,,,,,,,,,,   6.9
Auburn - Swanson Road Intermediate School,00170030,,,,   2.5,   3.4,,,,,,,,   2.9
Avon - Avon Middle High School,00180510,,,,,,,,   4.9,  48.4,   7.7,   7.3,   0.0,  15.2
Avon - Ralph D Butler,00180010,   8.9,   3.8,   3.7,   1.7,   5.6,   5.4,,,,,,,   4.7
Ayer Shirley School District - Ayer Shirley Regional High School,06160505,,,,,,,,,,   8.4,   5.4,   2.9,   5.4
Ayer Shirley School District - Ayer Shirley Regional Middle School,06160305,,,,,,,   6.7,   3.9,,,,,   5.4
Ayer Shirley School District - Lura A. White Elementary School,06160001,   6.3,  11.8,   4.8,   8.6,   6.3,,,,,,,,   7.4
Ayer Shirley School District - Page Hilltop Elementary School,06160002,   7.9,   2.3,   6.5,   1.3,   6.0,,,,,,,,   4.8
Barnstable - Barnstable Community Innovation School,00200012,,,,,,,,,,,,,
Barnstable - Barnstable High,00200505,,,,,,,,,  23.6,   7.5,   4.6,   3.4,  10.0
Barnstable - Barnstable Intermediate School,00200315,,,,,,,   6.6,,,,,,   6.6
Barnstable - Barnstable United Elementary School,00200050,,,,,   9.8,,,,,,,,   9.8
Barnstable - Centerville Elementary,00200010,   4.7,   7.9,   1.9,,,,,,,,,,   5.0
Barnstable - Enoch Cobb Early Learning Center,00200001,,,,,,,,,,,,,
Barnstable - Hyannis West Elementary,00200025,  14.3,  12.2,   7.3,,,,,,,,,,  11.2
Barnstable - West Barnstable Elementary,00200005,   7.9,  11.6,   6.3,,,,,,,,,,   8.7
Barnstable - West Villages Elementary School,00200045,   3.9,   3.6,   8.1,,,,,,,,,,   5.2
Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,,,,,,,   9.9,   7.7,  20.0,   8.9,  12.9,   5.4,  11.2
Bedford - Bedford High,00230505,,,,,,,,,,   9.3,   9.4,   3.6,   7.6
Bedford - John Glenn Middle,00230305,,,,,,,   1.0,   2.8,,,,,   1.8
Bedford - Lt Elezer Davis,00230010,   3.2,   3.3,,,,,,,,,,,   3.3
Bedford - Lt Job Lane School,00230012,,,,   4.0,   3.8,,,,,,,,   3.9
Belchertown - Belchertown High,00240505,,,,,,,,,,   4.7,   3.5,   2.9,   3.7
Belchertown - Chestnut Hill Community School,00240006,,,,,   3.6,   3.4,,,,,,,   3.5
Belchertown - Cold Spring,00240005,,,,,,,,,,,,,
Belchertown - Jabish Middle School,00240025,,,,,,,,   2.2,,,,,   2.2
Belchertown - Swift River Elementary,00240018,,   2.4,   1.9,,,,,,,,,,   2.1
Bellingham - Bellingham Early Childhood Center,00250003,,,,,,,,,,,,,
Bellingham - Bellingham High School,00250505,,,,,,,,,  25.0,   4.9,   3.3,   0.0,   8.8
Bellingham - Bellingham Memorial School,00250315,,,,,  10.5,   6.9,   3.7,,,,,,   7.1
Bellingham - Joseph F DiPietro Elementary School,00250020,  12.1,  12.2,   9.3,,,,,,,,,,  11.2
Bellingham - Keough Memorial Academy,00250510,,,,,,,,,  33.3,  12.5,  33.3,   0.0,  17.2
Bellingham - Stall Brook,00250025,   6.3,  18.8,   8.3,,,,,,,,,,  11.5
Belmont - Belmont High,00260505,,,,,,,,,,   3.5,   3.9,   1.2,   2.9
Belmont - Daniel Butler,00260015,   4.5,   5.7,  11.5,   5.6,,,,,,,,,   7.1
Belmont - Mary Lee Burbank,00260010,  11.9,  12.0,   7.0,   8.3,,,,,,,,,   9.9
Belmont - Roger E Wellington,00260035,   8.7,   9.7,   4.3,   6.9,,,,,,,,,   7.3
Belmont - Winn Brook,00260005,   9.2,   1.1,   2.1,   6.3,,,,,,,,,   4.6
Belmont - Winthrop L Chenery Middle,00260305,,,,,,   4.9,   6.6,   5.8,,,,,   5.7
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,04200205,   9.5,   6.1,   8.0,  12.5,  14.9,   5.0,,,,,,,   9.4
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,04470205,   0.0,   0.0,   3.8,   3.9,   0.0,   7.7,   3.8,   1.9,,,,,   2.7
Bentley Academy Charter School (District) - Bentley Academy Charter School,35110205,   3.4,   8.1,  12.9,   3.5,   7.0,,,,,,,,   7.1
Berkley - Berkley Community School,00270010,   1.3,   2.5,   0.0,   2.1,,,,,,,,,   1.4
Berkley - Berkley Middle School,00270305,,,,,,   3.5,   2.2,   3.2,,,,,   3.0
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,,,,,,,   8.5,   9.6,  32.0,   3.6,  12.2,  10.0,  13.8
Berkshire Hills - Monument Mt Regional High,06180505,,,,,,,,,,   9.2,   4.7,   1.8,   5.7
Berkshire Hills - Monument Valley Regional Middle School,06180310,,,,,,   1.4,   1.1,   1.3,,,,,   1.3
Berkshire Hills - Muddy Brook Regional Elementary School,06180035,   1.3,   9.1,   2.0,   1.4,,,,,,,,,   3.2
Berlin-Boylston - Berlin Memorial School,06200005,,,,,,,,,,,,,
Berlin-Boylston - Boylston Elementary School,06200010,,,,,,,,,,,,,
Berlin-Boylston - Tahanto Regional High,06200505,,,,,,,   6.0,   2.1,  37.6,   4.1,   3.8,   0.0,   9.6
Beverly - Ayers/Ryal Side School,00300055,  16.9,   4.7,   4.1,   4.3,,,,,,,,,   7.5
Beverly - Beverly High,00300505,,,,,,,,,,   4.2,   5.0,   2.8,   4.0
Beverly - Beverly Middle School,00300305,,,,,,   6.1,   4.1,   3.2,,,,,   4.6
Beverly - Centerville Elementary,00300010,   8.7,   6.9,   8.3,   4.8,,,,,,,,,   7.1
Beverly - Cove Elementary,00300015,  33.0,  14.1,   8.6,   3.8,,,,,,,,,  16.6
Beverly - Hannah Elementary,00300033,  11.9,   4.5,   8.2,   1.8,,,,,,,,,   6.6
Beverly - McKeown School,00300002,,,,,,,,,,,,,
Beverly - North Beverly Elementary,00300040,   4.5,   1.6,   4.6,   7.8,,,,,,,,,   4.7
Billerica - Billerica Memorial High School,00310505,,,,,,,,,,   3.3,   2.5,   2.1,   2.6
Billerica - Frederick J Dutile,00310007,   2.0,  12.5,  17.4,   2.2,,,,,,,,,   8.4
Billerica - Hajjar Elementary,00310026,  22.4,  21.1,  12.3,  13.3,,,,,,,,,  17.0
Billerica - John F Kennedy,00310012,   3.9,   3.8,  11.6,   1.5,,,,,,,,,   4.7
Billerica - Locke Middle,00310310,,,,,,,   5.4,,,,,,   5.4
Billerica - Marshall Middle School,00310305,,,,,,,   6.9,,,,,,   6.9
Billerica - Parker,00310015,  16.0,  12.9,  15.1,  13.6,,,,,,,,,  14.3
Billerica - Thomas Ditson,00310005,   3.5,   8.1,   4.8,   2.4,,,,,,,,,   4.6
Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,,,,,,,,,,   1.0,   1.9,   1.6,   1.5
Blackstone-Millville - A F Maloney,06220015,,,,   4.9,  11.1,,,,,,,,   7.5
Blackstone-Millville - Blackstone Millville RHS,06220505,,,,,,,,,,   3.4,   4.0,   1.9,   3.1
Blackstone-Millville - Frederick W. Hartnett Middle School,06220405,,,,,,,   6.0,   2.4,,,,,   4.3
Blackstone-Millville - John F Kennedy Elementary,06220008,   9.4,   5.7,,,,,,,,,,,   7.6
Blackstone-Millville - Millville Elementary,06220010,  14.3,   5.4,  14.7,  11.9,  12.2,,,,,,,,  11.5
Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,,,,,,,,,,   3.4,   5.7,   1.5,   3.6
Boston - Another Course To College,00350541,,,,,,,,,,  10.2,  16.7,  13.0,  13.2
Boston - Baldwin Early Learning Center,00350003,  11.8,,,,,,,,,,,,  11.8
Boston - Beethoven,00350021,  13.5,  12.6,,,,,,,,,,,  13.1
Boston - Blackstone,00350390,  13.0,  20.8,  18.5,  10.3,  28.4,,,,,,,,  18.1
Boston - Boston Adult Academy,00350548,,,,,,,,,,,,  41.9,  41.9
Boston - Boston Arts Academy,00350546,,,,,,,,,,   1.8,   8.3,   5.5,   5.1
Boston - Boston Collaborative High School,00350755,,,,,,,,,,  80.0,  31.0,  39.3,  39.7
Boston - Boston Community Leadership Academy,00350558,,,,,,,,,,  10.5,   7.7,   6.4,   8.3
Boston - Boston International High School,00350507,,,,,,,,,,  19.4,  18.3,   4.3,  16.2
Boston - Boston Latin,00350560,,,,,,,,   1.0,   2.7,   3.7,   1.6,   1.3,   2.1
Boston - Boston Latin Academy,00350545,,,,,,,,   4.6,   5.9,   4.5,   1.7,   1.2,   3.5
Boston - Boston Teachers Union School,00350012,  19.0,   4.5,   4.5,  20.8,  29.6,  48.6,  58.8,  33.3,,,,,  32.7
