District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Boston Preparatory Charter Public (District),04160000,         6,     0.0,     0.0,         6,   100.0
Boston Renaissance Charter Public (District),04810000,        19,     5.3,     5.3,        18,   100.0
Community Charter School of Cambridge (District),04360000,        14,     7.1,     7.1,        13,   100.0
Community Day Charter Public School - Prospect (District),04400000,         8,     0.0,     0.0,         8,   100.0
Hancock,01210000,        44,    25.0,    25.0,        33,   100.0
Lawrence Family Development Charter (District),04540000,         8,     0.0,     0.0,         8,   100.0
MATCH Charter Public School (District),04690000,        24,     4.2,     4.2,        23,   100.0
Petersham,02340000,       108,     4.6,     4.6,       103,   100.0
Rowe,02530000,        58,     0.0,     0.0,        58,   100.0
Truro,03000000,        73,     6.8,     6.8,        68,   100.0
Williamsburg,03400000,       140,     3.6,     3.6,       135,   100.0
Lynnfield,01640000,"     1,859",     0.8,     0.4,"     1,853",    99.6
Wayland,03150000,"     1,873",     0.9,     0.5,"     1,863",    99.6
Duxbury,00820000,"     2,816",     1.3,     0.7,"     2,797",    99.4
Westwood,03350000,"     2,468",     1.3,     1.0,"     2,451",    99.4
Benjamin Franklin Classical Charter Public (District),04470000,       308,     1.0,     0.6,       307,    99.3
Berkley,00270000,       849,     2.1,     1.4,       838,    99.2
Boxford,00380000,       631,     1.9,     1.4,       624,    99.2
Middleton,01840000,       616,     2.8,     2.1,       604,    99.2
New Salem-Wendell,07280000,       131,     3.1,     2.3,       128,    99.2
Topsfield,02980000,       604,     2.6,     2.0,       593,    99.2
Carlisle,00510000,       448,     2.2,     1.3,       442,    99.1
Christa McAuliffe Charter Public (District),04180000,       227,     1.8,     0.9,       225,    99.1
Milton,01890000,"     3,005",     1.9,     1.1,"     2,977",    99.1
Sudbury,02880000,"     2,028",     2.3,     1.6,"     1,999",    99.1
Canton,00500000,"     2,243",     1.8,     1.0,"     2,224",    99.0
Mattapoisett,01730000,       401,     3.0,     2.5,       393,    99.0
Andover,00090000,"     4,224",     2.4,     1.2,"     4,179",    98.9
Dover-Sherborn,06550000,       964,     1.7,     0.8,       959,    98.9
Groton-Dunstable,06730000,"     2,111",     1.8,     0.9,"     2,095",    98.9
Harvard,01250000,       864,     2.7,     1.7,       850,    98.9
Hilltown Cooperative Charter Public (District),04500000,       178,     1.7,     1.1,       177,    98.9
Needham,01990000,"     4,467",     2.1,     1.2,"     4,420",    98.9
Scituate,02640000,"     2,822",     1.9,     1.0,"     2,800",    98.9
Blackstone Valley Regional Vocational Technical,08050000,"     1,125",     1.2,     0.3,"     1,125",    98.8
Hanover,01220000,"     2,529",     2.9,     2.0,"     2,486",    98.8
Hopkinton,01390000,"     2,812",     2.6,     1.5,"     2,772",    98.8
North Reading,02170000,"     2,165",     2.4,     1.4,"     2,137",    98.8
Sharon,02660000,"     2,017",     2.2,     1.1,"     2,000",    98.8
Sherborn,02690000,       337,     3.9,     3.0,       328,    98.8
Sutton,02900000,"     1,276",     2.6,     1.6,"     1,258",    98.8
Weston,03300000,"     1,375",     2.0,     1.2,"     1,364",    98.8
Winchester,03440000,"     3,378",     2.3,     1.2,"     3,341",    98.8
Arlington,00100000,"     4,283",     2.6,     1.6,"     4,223",    98.7
Belmont,00260000,"     3,062",     3.0,     1.8,"     3,009",    98.7
Concord,00670000,"     1,615",     2.8,     1.9,"     1,591",    98.7
Halifax,01180000,       562,     2.3,     1.1,       556,    98.7
Manchester Essex Regional,06980000,"     1,352",     2.4,     1.1,"     1,338",    98.7
Norfolk,02080000,       882,     2.4,     1.6,       872,    98.7
Norwell,02190000,"     2,066",     2.8,     2.3,"     2,036",    98.7
Sunderland,02890000,       161,     3.7,     2.5,       157,    98.7
Advanced Math and Science Academy Charter (District),04300000,       663,     1.8,     0.6,       660,    98.6
Franklin,01010000,"     4,549",     2.6,     1.3,"     4,505",    98.6
Belchertown,00240000,"     2,048",     3.4,     2.0,"     2,010",    98.5
Cohasset,00650000,"     1,435",     2.0,     0.8,"     1,428",    98.5
Hopedale,01380000,       959,     2.5,     1.1,       949,    98.5
King Philip,06900000,"     1,870",     2.9,     1.5,"     1,844",    98.5
Lexington,01550000,"     3,387",     2.9,     1.7,"     3,344",    98.5
Lincoln-Sudbury,06950000,"     1,222",     1.9,     0.6,"     1,217",    98.5
Northboro-Southboro,07300000,"     1,147",     2.1,     1.0,"     1,140",    98.5
Plympton,02400000,       198,     3.0,     2.0,       195,    98.5
Westford,03260000,"     3,408",     2.6,     1.5,"     3,369",    98.5
Ashland,00140000,"     1,945",     3.5,     2.2,"     1,908",    98.4
Chesterfield-Goshen,06320000,       125,     2.4,     0.8,       124,    98.4
Grafton,01100000,"     2,523",     2.9,     1.7,"     2,488",    98.4
Hawlemont,06850000,       133,     4.5,     3.0,       129,    98.4
Holliston,01360000,"     2,413",     2.8,     1.3,"     2,385",    98.4
Marblehead,01680000,"     2,653",     3.3,     1.8,"     2,610",    98.4
Norton,02180000,"     2,200",     4.0,     2.6,"     2,148",    98.4
Concord-Carlisle,06400000,       998,     2.3,     1.1,       992,    98.3
Dover,00780000,       365,     3.0,     2.2,       360,    98.3
Frontier,06700000,       583,     3.4,     1.9,       573,    98.3
Wakefield,03050000,"     2,946",     3.2,     2.3,"     2,901",    98.3
Acton-Boxborough,06000000,"     3,068",     2.7,     1.3,"     3,043",    98.2
East Longmeadow,00870000,"     2,116",     2.9,     1.6,"     2,092",    98.2
Easton,00880000,"     2,988",     2.5,     1.5,"     2,968",    98.2
Foxborough,00990000,"     2,143",     3.5,     2.4,"     2,106",    98.2
Granby,01110000,       646,     4.5,     3.1,       628,    98.2
Longmeadow,01590000,"     2,282",     2.7,     1.1,"     2,262",    98.2
Marshfield,01710000,"     3,854",     3.3,     2.2,"     3,796",    98.2
Medway,01770000,"     2,002",     2.1,     0.6,"     1,994",    98.2
Melrose,01780000,"     3,177",     3.6,     2.1,"     3,118",    98.2
Northborough,02130000,"     1,172",     3.7,     2.4,"     1,150",    98.2
Tewksbury,02950000,"     3,017",     3.4,     2.2,"     2,967",    98.2
Wellesley,03170000,"     3,520",     2.8,     1.8,"     3,485",    98.2
Westborough,03210000,"     2,197",     4.7,     3.2,"     2,133",    98.2
Westhampton,03270000,       117,     4.3,     3.4,       114,    98.2
Barnstable Community Horace Mann Charter Public (District),04270000,       158,     1.9,     0.0,       158,    98.1
Berkshire Hills,06180000,       995,     3.3,     1.6,       981,    98.1
Berlin-Boylston,06200000,       515,     2.1,     0.4,       514,    98.1
Danvers,00710000,"     2,997",     3.8,     2.2,"     2,939",    98.1
East Bridgewater,00830000,"     2,090",     3.4,     2.1,"     2,058",    98.1
Kingston,01450000,"     1,014",     3.8,     2.1,       994,    98.1
Newton,02070000,"     8,105",     3.4,     1.8,"     7,989",    98.1
Plainville,02380000,       591,     4.2,     3.2,       577,    98.1
Seekonk,02650000,"     1,825",     3.1,     1.8,"     1,804",    98.1
Walpole,03070000,"     3,107",     3.2,     1.5,"     3,070",    98.1
West Boylston,03220000,       730,     3.4,     1.6,       719,    98.1
Wilmington,03420000,"     2,785",     3.0,     1.4,"     2,753",    98.1
Masconomet,07050000,"     1,636",     2.3,     0.6,"     1,631",    98.0
Upper Cape Cod Regional Vocational Technical,08790000,       602,     2.3,     0.5,       600,    98.0
Acushnet,00030000,       940,     4.3,     3.1,       919,    97.9
Ashburnham-Westminster,06100000,"     2,184",     3.8,     2.1,"     2,147",    97.9
Hampden-Wilbraham,06800000,"     2,608",     3.2,     1.4,"     2,581",    97.9
Hingham,01310000,"     3,869",     3.2,     2.2,"     3,823",    97.9
Lenox,01520000,       634,     3.0,     1.6,       628,    97.9
Littleton,01580000,"     1,427",     3.6,     2.0,"     1,405",    97.9
Mansfield,01670000,"     3,135",     3.2,     1.6,"     3,098",    97.9
Swampscott,02910000,"     1,813",     3.8,     2.2,"     1,783",    97.9
Assabet Valley Regional Vocational Technical,08010000,       894,     2.5,     0.8,       892,    97.8
