District Name,District Code,Churn/Intake Enroll,% Churn,% Intake,Stability Enroll,% Stability
Abby Kelley Foster Charter Public (District),04450000,"     1,451",     5.1,     3.3,"     1,438",    95.8
Abington,00010000,"     2,229",     7.1,     4.4,"     2,163",    95.7
Academy Of the Pacific Rim Charter Public (District),04120000,       551,     6.9,     5.4,       532,    96.4
Acton-Boxborough,06000000,"     5,531",     4.0,     2.6,"     5,413",    98.1
Acushnet,00030000,"     1,033",     4.8,     2.6,"     1,016",    96.9
Advanced Math and Science Academy Charter (District),04300000,       974,     2.2,     1.2,       965,    98.8
Agawam,00050000,"     3,823",     7.9,     5.0,"     3,694",    95.5
Alma del Mar Charter School (District),04090000,       664,    13.1,    10.7,       655,    88.1
Amesbury,00070000,"     2,066",     5.2,     2.5,"     2,026",    97.0
Amherst,00080000,"     1,164",    12.8,     8.7,"     1,106",    92.8
Amherst-Pelham,06050000,"     1,371",     5.6,     2.5,"     1,356",    95.4
Andover,00090000,"     5,944",     3.5,     1.7,"     5,865",    98.0
Argosy Collegiate Charter School (District),35090000,       534,    13.1,     7.7,       530,    87.5
Arlington,00100000,"     6,155",     3.4,     1.9,"     6,058",    98.2
Ashburnham-Westminster,06100000,"     2,431",     4.7,     3.2,"     2,363",    98.0
Ashland,00140000,"     2,927",     4.7,     3.3,"     2,858",    97.6
Assabet Valley Regional Vocational Technical,08010000,"     1,146",     3.3,     1.3,"     1,143",    96.9
Athol-Royalston,06150000,"     1,615",    12.7,     7.7,"     1,537",    91.9
Atlantis Charter (District),04910000,"     1,331",     5.6,     3.7,"     1,305",    96.3
Attleboro,00160000,"     6,215",     9.2,     6.1,"     6,012",    94.6
Auburn,00170000,"     2,680",     3.3,     1.9,"     2,648",    97.9
Avon,00180000,       754,     7.7,     4.4,       733,    95.0
Ayer Shirley School District,06160000,"     1,722",     5.8,     3.4,"     1,688",    96.1
Barnstable,00200000,"     5,356",    12.5,     8.6,"     5,092",    92.2
Baystate Academy Charter Public School (District),35020000,       494,    10.1,     4.5,       477,    93.1
Bedford,00230000,"     2,730",     4.4,     2.7,"     2,693",    97.0
Belchertown,00240000,"     2,295",     4.3,     2.4,"     2,252",    97.6
Bellingham,00250000,"     2,210",     6.6,     3.1,"     2,158",    95.7
Belmont,00260000,"     4,816",     4.3,     3.1,"     4,707",    97.9
Benjamin Banneker Charter Public (District),04200000,       344,     7.0,     5.5,       339,    94.4
Benjamin Franklin Classical Charter Public (District),04470000,       718,     2.8,     1.4,       709,    98.4
Bentley Academy Charter School (District),35110000,       339,     7.7,     1.8,       338,    92.6
Berkley,00270000,       928,     2.0,     1.4,       918,    99.0
Berkshire Arts and Technology Charter Public (District),04140000,       382,    11.0,     4.7,       376,    90.4
Berkshire Hills,06180000,"     1,225",     5.6,     3.8,"     1,190",    97.2
Berlin-Boylston,06200000,"     1,078",     6.2,     4.5,"     1,049",    96.4
Beverly,00300000,"     4,863",     6.1,     3.8,"     4,742",    96.4
Billerica,00310000,"     4,947",     6.9,     5.2,"     4,819",    95.7
Blackstone Valley Regional Vocational Technical,08050000,"     1,229",     1.3,     0.2,"     1,229",    98.7
Blackstone-Millville,06220000,"     1,704",     6.5,     3.6,"     1,655",    96.3
Blue Hills Regional Vocational Technical,08060000,       862,     3.1,     0.6,       862,    96.9
Boston,00350000,"    54,174",    19.5,    13.0,"    51,787",    85.9
Boston Collegiate Charter (District),04490000,       726,     8.1,     4.5,       702,    95.0
Boston Day and Evening Academy Charter (District),04240000,       490,    41.6,    23.7,       426,    67.1
Boston Green Academy Horace Mann Charter School (District),04110000,       509,    13.6,     8.8,       508,    86.6
Boston Preparatory Charter Public (District),04160000,       601,     9.7,     5.3,       588,    92.3
Boston Renaissance Charter Public (District),04810000,       974,     8.0,     5.2,       934,    95.9
Bourne,00360000,"     1,966",     6.9,     4.1,"     1,912",    95.8
Boxford,00380000,       756,     2.0,     1.6,       746,    99.3
Braintree,00400000,"     5,932",     4.7,     2.8,"     5,809",    97.5
Brewster,00410000,       482,     5.2,     3.5,       470,    97.2
Bridge Boston Charter School (District),04170000,       353,     7.9,     3.1,       343,    94.8
Bridgewater-Raynham,06250000,"     5,521",     4.5,     3.1,"     5,409",    97.6
Brimfield,00430000,       314,     7.6,     6.7,       300,    96.7
Bristol County Agricultural,09100000,       452,     3.8,     0.0,       452,    96.2
Bristol-Plymouth Regional Vocational Technical,08100000,"     1,310",     3.3,     0.5,"     1,309",    96.8
Brockton,00440000,"    16,904",    13.5,     8.8,"    16,130",    92.3
Brooke Charter School (District),04280000,"     2,043",     7.6,     3.8,"     2,009",    93.9
Brookfield,00450000,       323,     8.7,     4.6,       311,    94.9
Brookline,00460000,"     8,066",     7.5,     4.3,"     7,829",    95.4
Burlington,00480000,"     3,610",     6.3,     4.0,"     3,524",    96.0
Cambridge,00490000,"     7,377",     9.3,     5.8,"     7,114",    94.5
Canton,00500000,"     3,391",     6.1,     4.7,"     3,308",    96.3
Cape Cod Lighthouse Charter (District),04320000,       247,     6.9,     3.6,       242,    95.0
