District Name,District Code,African American,Asian,Hispanic,White,Native American,"Native Hawaiian, Pacific Islander","Multi-Race, Non-Hispanic",Males,Females,Non-Binary
Abby Kelley Foster Charter Public (District),04450000,  54.1,   3.4,  19.4,  17.3,   0.6,   0.0,   5.1,  45.7,  54.3,   0.0
Abington,00010000,   4.8,   2.5,  10.9,  79.2,   0.6,   0.1,   1.9,  50.4,  49.6,   0.0
Academy Of the Pacific Rim Charter Public (District),04120000,  62.8,   0.7,  28.3,   6.7,   0.0,   0.2,   1.3,  51.5,  48.5,   0.0
Acton-Boxborough,06000000,   3.1,  33.7,   6.2,  51.7,   0.1,   0.1,   5.1,  51.9,  48.0,   0.1
Acushnet,00030000,   0.9,   0.9,   4.4,  89.6,   0.2,   0.0,   4.1,  53.2,  46.8,   0.0
Advanced Math and Science Academy Charter (District),04300000,   1.9,  17.3,   7.0,  67.8,   0.0,   0.0,   6.0,  52.4,  47.5,   0.1
Agawam,00050000,   2.2,   3.3,  10.3,  81.0,   0.0,   0.0,   3.2,  51.5,  48.5,   0.0
Alma del Mar Charter School (District),04090000,  13.7,   0.1,  60.5,  20.7,   0.8,   0.0,   4.3,  45.4,  54.6,   0.0
Amesbury,00070000,   2.2,   1.2,   9.9,  82.3,   0.2,   0.1,   4.2,  53.0,  47.0,   0.1
Amherst,00080000,  10.0,  11.9,  22.1,  48.7,   0.5,   0.2,   6.7,  51.3,  48.4,   0.3
Amherst-Pelham,06050000,   8.1,   9.2,  18.2,  55.0,   0.0,   0.0,   9.4,  50.9,  48.9,   0.2
Andover,00090000,   2.7,  19.2,   7.7,  66.6,   0.1,   0.1,   3.6,  50.2,  49.7,   0.1
Argosy Collegiate Charter School (District),35090000,  13.5,   2.3,  25.4,  52.9,   0.5,   0.0,   5.4,  54.1,  45.9,   0.0
Arlington,00100000,   3.4,  13.1,   6.2,  69.9,   0.1,   0.1,   7.3,  50.3,  49.5,   0.1
Ashburnham-Westminster,06100000,   1.2,   1.0,   5.1,  89.7,   0.1,   0.0,   3.0,  50.6,  49.4,   0.0
Ashland,00140000,   2.9,  16.3,  13.6,  63.4,   0.4,   0.0,   3.4,  51.7,  48.3,   0.0
Assabet Valley Regional Vocational Technical,08010000,   1.7,   0.5,  21.9,  73.5,   0.2,   0.0,   2.3,  58.5,  40.6,   1.0
Athol-Royalston,06150000,   1.8,   1.0,  10.4,  82.9,   0.1,   0.0,   3.9,  54.2,  45.8,   0.0
Atlantis Charter (District),04910000,   5.4,   2.2,  14.8,  73.4,   0.1,   0.1,   4.1,  48.1,  51.9,   0.0
Attleboro,00160000,   6.8,   4.6,  15.6,  66.4,   0.2,   0.1,   6.4,  52.7,  47.3,   0.0
Auburn,00170000,   2.5,   4.6,   9.5,  80.1,   0.1,   0.0,   3.2,  49.8,  50.2,   0.0
Avon,00180000,  29.4,   4.5,  12.6,  46.3,   0.6,   0.0,   6.6,  52.1,  47.9,   0.0
Ayer Shirley School District,06160000,   3.8,   2.9,  11.2,  75.5,   0.7,   0.3,   5.6,  52.3,  47.7,   0.0
Barnstable,00200000,   8.3,   2.1,  20.1,  62.2,   0.4,   0.1,   6.9,  51.8,  48.1,   0.1
Baystate Academy Charter Public School (District),35020000,  27.5,   0.9,  59.3,  10.7,   0.0,   0.4,   1.3,  53.3,  46.7,   0.0
Bedford,00230000,   6.4,  19.6,   7.5,  60.7,   0.0,   0.0,   5.7,  51.9,  48.1,   0.0
Belchertown,00240000,   1.7,   1.2,   6.0,  87.0,   0.3,   0.2,   3.6,  50.6,  49.2,   0.1
Bellingham,00250000,   2.1,   3.1,   7.1,  84.5,   0.1,   0.4,   2.8,  49.6,  50.3,   0.1
Belmont,00260000,   3.2,  21.4,   3.8,  63.1,   0.1,   0.1,   8.3,  50.0,  50.0,   0.0
Benjamin Banneker Charter Public (District),04200000,  77.9,   1.7,  11.9,   2.6,   0.3,   0.6,   4.9,  48.8,  50.9,   0.3
Benjamin Franklin Classical Charter Public (District),04470000,   3.0,  19.2,   4.8,  68.2,   0.6,   0.1,   4.1,  49.7,  50.3,   0.0
Berkley,00270000,   0.8,   0.5,   2.4,  91.8,   0.1,   0.1,   4.3,  50.7,  49.3,   0.0
Berkshire Arts and Technology Charter Public (District),04140000,  12.6,   2.4,  12.4,  66.7,   0.3,   0.0,   5.6,  53.2,  46.2,   0.5
Berkshire Hills,06180000,   1.5,   3.0,  11.1,  78.2,   0.2,   0.3,   5.8,  50.2,  49.8,   0.0
Berlin-Boylston,06200000,   1.4,   4.5,   7.1,  83.0,   0.3,   0.1,   3.6,  49.6,  50.2,   0.2
Beverly,00300000,   3.6,   2.5,  15.0,  74.8,   0.1,   0.0,   3.9,  51.9,  48.1,   0.0
Billerica,00310000,   5.4,   9.2,   7.9,  74.1,   0.1,   0.1,   3.3,  50.2,  49.8,   0.0
Blackstone Valley Regional Vocational Technical,08050000,   1.2,   1.9,   7.7,  86.7,   0.0,   0.1,   2.4,  49.7,  50.1,   0.2
Blackstone-Millville,06220000,   1.7,   0.8,   8.5,  84.7,   0.0,   0.0,   4.3,  51.9,  47.9,   0.1
Blue Hills Regional Vocational Technical,08060000,  22.1,   2.1,  15.3,  54.4,   0.7,   0.0,   5.4,  53.9,  46.1,   0.0
Boston,00350000,  29.3,   9.1,  42.4,  15.3,   0.3,   0.2,   3.4,  51.8,  48.1,   0.0
Boston Collegiate Charter (District),04490000,  34.7,   1.8,  17.4,  42.6,   0.1,   0.1,   3.2,  48.7,  51.3,   0.0
Boston Day and Evening Academy Charter (District),04240000,  47.2,   0.8,  45.8,   3.9,   0.6,   0.0,   1.7,  46.6,  53.4,   0.0
Boston Green Academy Horace Mann Charter School (District),04110000,  44.6,   1.8,  43.6,   6.5,   0.2,   0.4,   2.9,  52.5,  47.5,   0.0
Boston Preparatory Charter Public (District),04160000,  67.5,   0.4,  27.9,   1.0,   0.0,   0.1,   3.0,  49.3,  50.7,   0.0
Boston Renaissance Charter Public (District),04810000,  60.2,   0.1,  34.3,   1.6,   0.2,   0.0,   3.6,  48.7,  51.3,   0.0
Bourne,00360000,   1.8,   1.9,   5.4,  85.8,   1.2,   0.0,   4.0,  48.1,  51.9,   0.0
Boxford,00380000,   0.3,   3.5,   3.2,  87.8,   0.0,   0.0,   5.2,  53.2,  46.8,   0.0
Braintree,00400000,   5.2,  23.5,   4.9,  64.1,   0.1,   0.1,   2.0,  50.4,  49.5,   0.0
Brewster,00410000,   3.1,   0.2,   8.8,  81.4,   0.0,   0.0,   6.4,  51.2,  48.8,   0.0
Bridge Boston Charter School (District),04170000,  66.6,   0.9,  26.0,   3.0,   0.0,   0.3,   3.3,  47.3,  52.7,   0.0
Bridgewater-Raynham,06250000,   7.6,   2.3,   3.3,  81.7,   0.1,   0.1,   5.0,  51.4,  48.6,   0.0
Brimfield,00430000,   1.5,   1.1,   4.8,  91.8,   0.7,   0.0,   0.0,  50.9,  49.1,   0.0
Bristol County Agricultural,09100000,   2.2,   0.4,   4.5,  91.1,   0.0,   0.2,   1.6,  25.7,  74.1,   0.2
Bristol-Plymouth Regional Vocational Technical,08100000,   3.6,   1.0,   6.0,  85.4,   0.4,   0.0,   3.7,  57.4,  42.6,   0.0
Brockton,00440000,  60.6,   1.9,  17.0,  15.5,   0.3,   0.2,   4.5,  52.7,  47.3,   0.0
Brooke Charter School (District),04280000,  52.8,   1.8,  38.8,   4.1,   0.2,   0.1,   2.3,  47.6,  52.4,   0.0
Brookfield,00450000,   0.4,   0.0,   6.0,  89.8,   0.0,   0.0,   3.8,  52.6,  47.4,   0.0
Brookline,00460000,   6.2,  20.0,  10.8,  52.2,   0.0,   0.1,  10.8,  50.6,  49.2,   0.1
Burlington,00480000,   7.3,  17.9,   6.8,  63.8,   0.2,   0.0,   4.1,  50.7,  49.3,   0.1
Cambridge,00490000,  22.8,  12.3,  13.8,  40.9,   0.2,   0.1,   9.8,  50.5,  49.4,   0.1
Canton,00500000,  10.8,  11.5,   5.7,  65.3,   0.1,   0.2,   6.4,  48.6,  51.3,   0.1
