District Name,District Code,High Needs pop,High Needs percent,Economically Disadvantaged pop,Economically Disadvantaged percent
Abby Kelley Foster Charter Public (District),4450000,887,62.2,2,2
Abington,10000,889,41.4,83,5.7
Academy Of the Pacific Rim Charter Public (District),4120000,370,68.5,158,6.3
Acton-Boxborough,6000000,1469,27.8,250,6.4
Acushnet,30000,351,38,82,8.2
Advanced Math and Science Academy Charter (District),4300000,234,24.2,97,4.4
Agawam,50000,1650,46.6,128,10.4
Alma del Mar Charter School (District),4090000,650,81.6,10,2.1
Amesbury,70000,793,42,187,6.7
Amherst,80000,519,50.3,44,3.7
Amherst-Pelham,6050000,566,43.7,18,4.6
Andover,90000,1794,31.8,25,4.3
Argosy Collegiate Charter School (District),35090000,452,79.2,23,8
Arlington,100000,1541,26.4,102,7.8
Ashburnham-Westminster,6100000,750,34,316,11.1
Ashland,140000,961,34.9,40,10
Assabet Valley Regional Vocational Technical,8010000,629,54.7,181,8
Athol-Royalston,6150000,936,64.6,125,9.2
Atlantis Charter (District),4910000,800,61.7,182,6.2
Attleboro,160000,2667,46,123,7.3
Auburn,170000,817,32.3,342,7.3
Avon,180000,341,49.6,21,18.1
Ayer Shirley School District,6160000,710,43.3,173,15.3
Barnstable,200000,2737,57.5,100,10.4
Baystate Academy Charter Public School (District),35020000,377,80.4,135,8.7
Bedford,230000,822,30.9,62,9.1
Belchertown,240000,761,35.2,353,8.9
Bellingham,250000,810,40.2,157,6.2
Belmont,260000,1324,29.3,28,4.8
Benjamin Banneker Charter Public (District),4200000,218,63.4,219,9.5
Benjamin Franklin Classical Charter Public (District),4470000,242,31.2,50,7.4
Berkley,270000,274,31.6,140,8.3
Berkshire Arts and Technology Charter Public (District),4140000,223,59.9,221,11.4
Berkshire Hills,6180000,522,44.2,256,5.7
Berlin-Boylston,6200000,298,28.2,232,8.4
Beverly,300000,1937,41.2,308,6.9
Billerica,310000,1696,36.7,135,11.1
Blackstone Valley Regional Vocational Technical,8050000,238,19.3,561,10.7
Blackstone-Millville,6220000,646,40.8,351,6.4
Blue Hills Regional Vocational Technical,8060000,473,53.1,35,16.1
Boston,350000,37913,78.2,231,11.1
Boston Collegiate Charter (District),4490000,380,52.6,169,8.4
Boston Day and Evening Academy Charter (District),4240000,300,84,243,9.3
Boston Green Academy Horace Mann Charter School (District),4110000,424,83.3,117,6.1
Boston Preparatory Charter Public (District),4160000,531,79.1,253,6.4
Boston Renaissance Charter Public (District),4810000,668,70.8,61,6.2
Bourne,360000,694,41.7,233,10.8
Boxford,380000,172,25.1,164,14.2
Braintree,400000,2321,42,336,11.9
Brewster,410000,173,41,524,9.1
Bridge Boston Charter School (District),4170000,282,83.4,287,10.4
Bridgewater-Raynham,6250000,1745,32.9,204,9.4
Brimfield,430000,98,36.3,495,11.4
Bristol County Agricultural,9100000,164,36.6,316,10.2
Bristol-Plymouth Regional Vocational Technical,8100000,544,41.2,114,7.5
Brockton,440000,12056,77.9,177,6.6
Brooke Charter School (District),4280000,1357,66.1,342,9.8
Brookfield,450000,96,36.1,142,11.2
Brookline,460000,2462,35.4,480,13.1
Burlington,480000,1072,30.9,89,10.3
Cambridge,490000,3289,48.2,386,14.9
Canton,500000,947,29.5,132,15.5
Cape Cod Lighthouse Charter (District),4320000,85,34,137,18.3
Cape Cod Regional Vocational Technical,8150000,393,62.8,22,19
Carlisle,510000,145,24.7,422,8.1
Carver,520000,575,38.5,545,11.3
Central Berkshire,6350000,667,43.8,267,19.4
Chelmsford,560000,1527,31.2,245,11.5
Chelsea,570000,5232,85.8,87,7.2
Chesterfield-Goshen,6320000,46,45.5,909,13.8
Chicopee,610000,4570,66.5,147,14.1
Christa McAuliffe Charter Public (District),4180000,219,54.9,463,17.7
City on a Hill Charter Public School Circuit Street (District),4370000,251,83.9,216,19.8
Clarksburg,630000,76,40,455,13.8
Clinton,640000,1098,59,89,8.5
Codman Academy Charter Public (District),4380000,268,77,531,14.1
Cohasset,650000,263,17.9,368,8.3
Collegiate Charter School of Lowell (District),35030000,693,68.3,593,16.9
Community Charter School of Cambridge (District),4360000,174,57.2,290,13
Community Day Charter Public School - Gateway (District),4260000,332,83,537,17
Community Day Charter Public School - Prospect (District),4400000,321,80.5,76,18.8
Community Day Charter Public School - R. Kingman Webster (District),4310000,314,78.5,475,12.8
Concord,670000,525,25.9,512,18.9
Concord-Carlisle,6400000,312,23.2,179,17.8
Conservatory Lab Charter (District),4390000,326,71.3,815,13.6
Conway,680000,42,33.6,263,16.5
Danvers,710000,1175,34.9,143,18.1
Dartmouth,720000,1315,38,194,15.2
Dedham,730000,1094,42.1,33,15.8
Deerfield,740000,108,34.7,462,6.7
Dennis-Yarmouth,6450000,1675,60.3,313,15.3
Dighton-Rehoboth,6500000,752,28.5,317,18.7
Douglas,770000,375,32.2,276,10.6
Dover,780000,95,19.8,515,15.2
Dover-Sherborn,6550000,251,20.6,464,23
Dracut,790000,1490,40.2,113,14.6
Dudley Street Neighborhood Charter School (District),4070000,251,85.4,711,14.7
Dudley-Charlton Reg,6580000,1289,37.2,579,20.2
Duxbury,820000,569,20.2,468,15
East Bridgewater,830000,740,35.2,408,23
East Longmeadow,870000,885,36.2,184,21.3
Eastham,850000,95,49,570,16.7
Easthampton,860000,672,45.9,549,9.8
Easton,880000,1091,31.7,59,14.9
Edgartown,890000,231,60.3,15,14
Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District),4520000,317,82.3,329,20.7
Erving,910000,52,45.6,305,11.3
Essex North Shore Agricultural and Technical School District,8170000,533,34.1,109,16.4
Everett,930000,5389,77.2,216,18.8
Excel Academy Charter (District),4100000,1008,72.6,559,22.2
Fairhaven,940000,822,42.4,88,18.5
Fall River,950000,8189,81,188,17.1
Falmouth,960000,1388,45.3,137,21.1
Farmington River Reg,6620000,52,48.6,840,18.6
Fitchburg,970000,3967,75.6,1079,20.5
Florida,980000,38,47.5,117,23.1
Four Rivers Charter Public (District),4130000,80,37.2,1248,10.4
Foxborough,990000,866,34.9,203,19.6
Foxborough Regional Charter (District),4460000,779,45.4,350,21.5
Framingham,1000000,5710,63.8,566,17.8
Francis W. Parker Charter Essential (District),4780000,94,23.6,131,23.4
Franklin,1010000,1363,27.8,32,25.6
Franklin County Regional Vocational Technical,8180000,321,57.8,28,27.2
Freetown-Lakeville,6650000,812,29.8,437,19.9
Frontier,6700000,216,32.8,45,18
Gardner,1030000,1456,65.4,807,22.5
Gateway,6720000,381,50.4,300,19.2
Georgetown,1050000,315,25.5,465,20
Gill-Montague,6740000,531,62.3,125,18.3
Global Learning Charter Public (District),4960000,364,72.4,69,22.2
Gloucester,1070000,1556,55.3,290,18.6
Gosnold,1090000,,,486,17.8
Grafton,1100000,987,31.3,685,20.7
Granby,1110000,315,43.6,449,18.3
Greater Fall River Regional Vocational Technical,8210000,690,47.5,811,20.6
Greater Lawrence Regional Vocational Technical,8230000,1199,73.4,467,21.7
Greater Lowell Regional Vocational Technical,8280000,1453,63.3,465,22.3
