School Name,School Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,   7.9,   2.5,   2.5,   7.4,   2.6,   1.7,   5.0,   3.5,   7.6,   3.0,   2.0,   1.1,   4.0
Abington - Abington Early Education Program,00010001,,,,,,,,,,,,,
Abington - Abington High,00010505,,,,,,,,,,   3.7,   3.8,   1.3,   3.0
Abington - Abington Middle School,00010405,,,,,,   5.9,   6.0,   3.6,,,,,   5.2
Abington - Beaver Brook Elementary,00010020,   8.1,   3.2,,,,,,,,,,,   5.8
Abington - Woodsdale Elementary School,00010015,,,,   5.5,,,,,,,,,   5.5
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,,,,,,   7.9,  17.1,   1.4,   6.8,   2.9,   2.5,   4.4,   6.3
Acton-Boxborough - Acton-Boxborough Regional High,06000505,,,,,,,,,,   3.2,   4.1,   1.4,   2.9
Acton-Boxborough - Blanchard Memorial School,06000005,  12.5,   3.8,  10.3,   1.4,   7.6,   6.1,,,,,,,   6.8
Acton-Boxborough - C.T. Douglas Elementary School,06000020,  13.0,   2.3,   7.1,   2.2,  10.1,   4.2,,,,,,,   6.8
Acton-Boxborough - Carol Huebner Early Childhood Program,06000001,,,,,,,,,,,,,
Acton-Boxborough - Luther Conant School,06000030,   9.1,   1.6,   4.6,   3.0,   0.0,   6.5,,,,,,,   4.1
Acton-Boxborough - McCarthy-Towne School,06000015,  11.3,   3.2,   4.9,   4.5,   1.5,   8.8,,,,,,,   5.7
Acton-Boxborough - Merriam School,06000010,   9.1,  11.3,   4.9,   5.9,   5.7,   2.8,,,,,,,   6.4
Acton-Boxborough - Paul P Gates Elementary School,06000025,   7.7,   0.0,   7.1,   4.5,   2.8,   2.8,,,,,,,   3.9
Acton-Boxborough - Raymond J Grey Junior High,06000405,,,,,,,,   2.7,,,,,   2.7
Acushnet - Acushnet Elementary School,00030025,   7.0,  11.3,  14.0,   9.4,,,,,,,,,  10.7
Acushnet - Albert F Ford Middle School,00030305,,,,,,   8.2,  10.9,   3.6,,,,,   7.5
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,,,,,,,   0.0,   2.4,   8.2,   2.5,   3.9,   0.7,   3.1
Agawam - Agawam Early Childhood Center,00050003,,,,,,,,,,,,,
Agawam - Agawam High,00050505,,,,,,,,,,   2.1,   3.2,   0.8,   1.9
Agawam - Agawam Junior High,00050405,,,,,,,,   2.6,,,,,   2.6
Agawam - Benjamin J Phelps,00050020,   5.7,   3.1,   4.2,   7.1,,,,,,,,,   5.2
Agawam - Clifford M Granger,00050010,   8.3,   4.9,   5.3,   7.1,,,,,,,,,   6.7
