District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Abby Kelley Foster Charter Public (District),04450000,   7.9,   2.5,   2.5,   7.4,   2.6,   1.7,   5.0,   3.5,   7.6,   3.0,   2.0,   1.1,   4.0
Abington,00010000,   8.1,   3.2,   3.5,   5.5,   4.3,   5.9,   6.0,   3.6,  23.0,   3.7,   3.8,   1.3,   6.3
Academy Of the Pacific Rim Charter Public (District),04120000,,,,,,   7.9,  17.1,   1.4,   6.8,   2.9,   2.5,   4.4,   6.3
Acton-Boxborough,06000000,   8.7,   2.0,   5.0,   3.1,   4.3,   4.3,   6.6,   2.7,  11.4,   3.2,   3.9,   1.4,   4.7
Acushnet,00030000,   7.0,  11.3,  14.0,   9.4,   5.4,   8.2,  10.9,   3.6,,,,,   8.7
Advanced Math and Science Academy Charter (District),04300000,,,,,,,   0.0,   2.4,   8.2,   2.5,   3.9,   0.7,   3.1
Agawam,00050000,   7.1,   4.3,   6.7,   6.8,   5.8,   5.8,   5.4,   2.6,   5.6,   2.1,   3.2,   0.8,   4.7
Alma del Mar Charter School (District),04090000,   0.0,   6.9,   1.9,   0.0,   6.0,   8.2,   6.5,   2.0,,,,,   3.8
Amesbury,00070000,  16.3,  11.0,  18.9,   5.6,   5.7,   9.8,   6.2,   9.6,  26.5,   4.8,   2.2,   1.3,  10.0
Amherst,00080000,  11.6,  10.3,  10.9,   8.1,   8.2,   7.6,,,,,,,   9.4
Amherst-Pelham,06050000,,,,,,,,   8.0,   9.5,   3.4,   5.7,   4.3,   6.2
Andover,00090000,   6.1,   7.2,   4.2,   5.0,   2.6,   5.2,   6.2,   4.7,  18.5,   3.3,   3.8,   2.0,   5.8
Argosy Collegiate Charter School (District),35090000,,,,,,,   7.0,   2.8,  48.5,   3.5,   0.0,   0.0,  12.2
Arlington,00100000,  10.1,  12.8,   9.4,   7.8,   7.6,   6.7,   7.5,   5.1,  21.5,   5.4,   3.0,   2.7,   8.6
Ashburnham-Westminster,06100000,  11.9,   9.6,  12.2,   7.6,   5.6,   8.1,   6.7,   6.8,  25.3,   9.1,   7.1,   2.3,   9.5
Ashland,00140000,  11.1,  12.5,   5.4,   7.3,   2.9,   4.7,   5.2,   4.0,  13.8,   3.4,   1.8,   1.9,   6.2
Assabet Valley Regional Vocational Technical,08010000,,,,,,,,,,   2.4,   2.4,   1.5,   2.1
Athol-Royalston,06150000,  14.3,  17.3,  12.9,  11.5,   8.9,   6.0,  13.0,   5.4,  21.7,   9.1,   2.5,   1.2,  11.0
Atlantis Charter (District),04910000,   4.6,   0.9,   0.9,   2.7,   0.9,   0.9,   1.8,   0.9,  57.3,   5.7,   2.6,   6.6,   7.3
Attleboro,00160000,   8.4,   7.4,   5.4,   4.5,   3.9,   4.8,   4.3,   2.7,   8.1,   5.0,   3.2,   0.7,   4.8
Auburn,00170000,   5.9,   4.3,   6.4,   7.6,   6.4,   5.2,   5.2,   3.6,  26.0,   2.0,   3.9,   4.0,   6.8
Avon,00180000,   6.5,   5.8,   3.6,  13.8,   4.7,   5.5,   6.5,   3.2,  43.5,   6.1,   4.4,   4.9,   9.5
Ayer Shirley School District,06160000,   7.4,  11.4,   6.1,   4.9,   3.7,   7.7,   4.3,   6.5,  25.6,   5.0,   5.0,   4.7,   7.8
Barnstable,00200000,   8.8,   9.2,   8.2,  13.2,   9.6,  10.8,   5.8,   5.3,  22.5,   6.3,   3.5,   5.4,   9.2
Baystate Academy Charter Public School (District),35020000,,,,,,,   1.4,   3.8,  26.7,   4.6,   3.6,   8.9,   8.4
Bedford,00230000,   6.0,   4.0,   3.3,   5.1,   2.0,   6.2,   5.3,   3.8,   8.8,   9.4,   7.9,   2.8,   5.4
Belchertown,00240000,  14.1,   9.7,  13.0,   7.0,   6.2,   3.5,   6.5,   4.3,  15.1,   5.8,   1.9,   0.6,   7.3
Bellingham,00250000,  10.6,  10.9,  10.1,   6.7,   2.8,   4.5,   3.8,   4.2,  20.5,   6.8,   3.4,   3.8,   7.5
Belmont,00260000,  11.2,   9.0,   9.1,   8.7,  12.0,   7.8,   7.0,   5.9,  12.5,   3.1,   4.7,   3.0,   7.9
Benjamin Banneker Charter Public (District),04200000,   4.3,   2.2,   3.9,   4.1,   4.5,   2.4,,,,,,,   3.6
Benjamin Franklin Classical Charter Public (District),04470000,   4.3,   3.3,   0.0,   3.3,   1.1,   4.3,   5.8,   0.0,,,,,   2.7
Berkley,00270000,   6.1,   4.7,   7.6,   3.0,   7.1,   1.1,   4.4,   2.1,,,,,   4.5
Berkshire Arts and Technology Charter Public (District),04140000,,,,,,,  16.9,   8.3,  32.8,  14.6,   4.0,   3.0,  14.9
Berkshire Hills,06180000,   2.6,   4.4,  14.0,   1.9,   6.4,   5.8,   6.2,   4.0,   4.9,   4.1,   2.8,   3.2,   4.6
