ORG4CODE,DISTRICT_ID,DISTRICT_N,TOTAL_POPULATION,RLVNT_POP,POV_HOUSEHOLD,PERCENT,,,,,,,,
0001,01650,Abington    ,16877,2505,183,7.3%,,,,,,,,
0600,01710,Acton-Boxborough Regional    ,28869,6129,148,2.4%,,,,,,,,
0003,01740,Acushnet    ,10623,991,77,7.8%,,,,,,,,
0603,,Adams-Cheshire,,,,#DIV/0!,,,,,,,,
0005,01800,Agawam    ,28607,4004,357,8.9%,,,,,,,,
0007,01860,Amesbury    ,17293,2523,166,6.6%,,,,,,,,
0008,01890,Amherst    ,38480,1270,140,11.0%,,,,,,,,
0605,01920,Amherst-Pelham    ,43381,1634,157,9.6%,,,,,,,,
0009,01950,Andover    ,35116,6716,171,2.5%,,,,,,,,
0010,01980,Arlington    ,45923,5967,158,2.6%,,,,,,,,
0610,02040,Ashburnham-Westminster    ,13886,2420,108,4.5%,,,,,,,,
0014,02100,Ashland    ,17821,2910,116,4.0%,,,,,,,,
0615,02160,Athol-Royalston    ,13355,2039,318,15.6%,,,,,,,,
0016,02190,Attleboro    ,44919,6730,666,9.9%,,,,,,,,
0017,02220,Auburn    ,16874,2400,159,6.6%,,,,,,,,
0018,02250,Avon    ,4588,649,53,8.2%,,,,,,,,
0616,00542,Ayer-Shirley    ,15693,2173,121,5.6%,,,,,,,,
0020,02310,Barnstable    ,44589,5189,571,11.0%,,,,,,,,
0024,02430,Belchertown    ,14908,2503,164,6.6%,,,,,,,,
0025,02460,Bellingham    ,17287,2698,146,5.4%,,,,,,,,
0026,02490,Belmont    ,26420,4451,135,3.0%,,,,,,,,
0618,02530,Berkshire Hills    ,9846,1227,93,7.6%,,,,,,,,
0620,02580,Berlin-Boylston    ,7517,1167,53,4.5%,,,,,,,,
0030,02640,Beverly    ,41947,5318,401,7.5%,,,,,,,,
0031,02670,Billerica    ,43143,7012,264,3.8%,,,,,,,,
0622,02715,Blackstone-Millville    ,12689,2173,140,6.4%,,,,,,,,
0035,02790,Boston    ,687699,74147,19777,26.7%,,,,,,,,
0036,02820,Bourne    ,19482,2307,149,6.5%,,,,,,,,
0038,02880,Boxford    ,8451,866,16,1.8%,,,,,,,,
0040,02940,Braintree    ,37634,5795,325,5.6%,,,,,,,,
0625,03030,Bridgewater-Raynham    ,41812,6067,395,6.5%,,,,,,,,
0043,03060,Brimfield    ,3632,269,25,9.3%,,,,,,,,
0044,03090,Brockton    ,98744,15746,2894,18.4%,,,,,,,,
0045,03120,Brookfield    ,3515,243,17,7.0%,,,,,,,,
0046,03150,Brookline    ,61783,6860,324,4.7%,,,,,,,,
0048,03240,Burlington    ,26257,3939,155,3.9%,,,,,,,,
0049,03270,Cambridge    ,112752,7388,783,10.6%,,,,,,,,
0050,03300,Canton    ,22733,3691,167,4.5%,,,,,,,,
0051,03330,Carlisle    ,5203,703,18,2.6%,,,,,,,,
0052,03360,Carver    ,12100,1827,120,6.6%,,,,,,,,
0635,03390,Central Berkshire    ,13110,1829,191,10.4%,,,,,,,,
0056,03510,Chelmsford    ,36233,5933,235,4.0%,,,,,,,,
0632,00014,Chesterfield-Goshen    ,2318,152,5,3.3%,,,,,,,,
0061,03660,Chicopee    ,55635,7556,1186,15.7%,,,,,,,,
0063,03720,Clarksburg    ,1620,159,12,7.5%,,,,,,,,
0064,03750,Clinton    ,14149,1924,226,11.7%,,,,,,,,
0065,03780,Cohasset    ,7943,1681,61,3.6%,,,,,,,,
0067,03840,Concord    ,18957,2077,52,2.5%,,,,,,,,
0640,03870,Concord-Carlisle    ,24160,1526,27,1.8%,,,,,,,,
0068,03900,Conway    ,1868,132,9,6.8%,,,,,,,,
0071,03990,Danvers    ,28139,4024,203,5.0%,,,,,,,,
0072,04020,Dartmouth    ,35102,4470,311,7.0%,,,,,,,,
0073,04050,Dedham    ,26043,3634,232,6.4%,,,,,,,,
0074,04080,Deerfield    ,5036,387,24,6.2%,,,,,,,,
0645,04140,Dennis-Yarmouth    ,37500,3524,404,11.5%,,,,,,,,
0650,04200,Dighton-Rehoboth    ,19295,3401,186,5.5%,,,,,,,,
0077,04230,Douglas    ,8810,1627,70,4.3%,,,,,,,,
0078,04260,Dover    ,5890,598,13,2.2%,,,,,,,,
0655,04290,Dover-Sherborn    ,10307,1447,63,4.4%,,,,,,,,
0079,04320,Dracut    ,31527,5043,338,6.7%,,,,,,,,
0658,04360,Dudley-Charlton Regional    ,25347,4219,266,6.3%,,,,,,,,
0082,04410,Duxbury    ,15859,3219,109,3.4%,,,,,,,,
0083,04440,East Bridgewater    ,14528,2413,144,6.0%,,,,,,,,
0087,04500,East Longmeadow    ,15861,2617,177,6.8%,,,,,,,,
0086,04590,Easthampton    ,16327,1827,184,10.1%,,,,,,,,
0088,04620,Easton    ,23832,3927,154,3.9%,,,,,,,,
0091,04710,Erving    ,1770,153,13,8.5%,,,,,,,,
0094,04800,Fairhaven    ,16365,2182,208,9.5%,,,,,,,,
0095,04830,Fall River    ,91617,12623,3281,26.0%,,,,,,,,
0096,04860,Falmouth    ,31109,3495,271,7.8%,,,,,,,,
0662,13321,Farmington River Regional    ,2407,129,7,5.4%,,,,,,,,
0097,04890,Fitchburg    ,41953,5990,1367,22.8%,,,,,,,,
0098,04920,Florida    ,841,72,14,19.4%,,,,,,,,
0099,04950,Foxborough    ,17773,3029,142,4.7%,,,,,,,,
0100,04980,Framingham    ,73261,9586,1020,10.6%,,,,,,,,
0101,05010,Franklin    ,33322,6757,191,2.8%,,,,,,,,
0665,05070,Freetown-Lakeville    ,20317,3487,209,6.0%,,,,,,,,
0670,05100,Frontier    ,12013,747,40,5.4%,,,,,,,,
0103,05130,Gardner    ,21050,2747,478,17.4%,,,,,,,,
0672,05160,Gateway    ,7967,1161,99,8.5%,,,,,,,,
0105,05220,Georgetown    ,8710,1643,62,3.8%,,,,,,,,
0674,05270,Gill-Montague    ,11535,1261,146,11.6%,,,,,,,,
0107,05280,Gloucester    ,30569,3872,414,10.7%,,,,,,,,
0109,05340,Gosnold    ,79,6,1,16.7%,,,,,,,,
0110,05370,Grafton    ,18735,3109,115,3.7%,,,,,,,,
0111,05400,Granby    ,6348,995,72,7.2%,,,,,,,,
0114,05490,Greenfield    ,17156,2072,313,15.1%,,,,,,,,
0673,05500,Groton-Dunstable    ,14817,3276,62,1.9%,,,,,,,,
0118,05610,Halifax    ,7914,631,36,5.7%,,,,,,,,
0675,05670,Hamilton-Wenham    ,13421,2330,118,5.1%,,,,,,,,
0680,05730,Hampden-Wilbraham    ,19471,3334,154,4.6%,,,,,,,,
0683,05740,Hampshire    ,12371,894,36,4.0%,,,,,,,,
0121,05760,Hancock    ,684,48,4,8.3%,,,,,,,,
0122,05790,Hanover    ,14609,2835,90,3.2%,,,,,,,,
0125,05880,Harvard    ,6784,1186,45,3.8%,,,,,,,,
0127,05940,Hatfield    ,3316,391,17,4.3%,,,,,,,,
0128,05970,Haverhill    ,64643,9313,1243,13.3%,,,,,,,,
0685,06000,Hawlemont    ,1576,92,16,17.4%,,,,,,,,
0131,06090,Hingham    ,23331,4214,95,2.3%,,,,,,,,
0133,06150,Holbrook    ,11383,1657,120,7.2%,,,,,,,,
0135,06210,Holland    ,2493,193,13,6.7%,,,,,,,,
0136,06240,Holliston    ,14516,2816,66,2.3%,,,,,,,,
0137,06270,Holyoke    ,40118,6713,1682,25.1%,,,,,,,,
0138,06300,Hopedale    ,6143,1101,52,4.7%,,,,,,,,
0139,06330,Hopkinton    ,15984,3808,109,2.9%,,,,,,,,
0141,06390,Hudson    ,20453,3136,180,5.7%,,,,,,,,
0142,06420,Hull    ,10839,1237,106,8.6%,,,,,,,,
0144,06480,Ipswich    ,13991,2093,105,5.0%,,,,,,,,
0690,06510,King Philip    ,32155,2671,74,2.8%,,,,,,,,
0150,06690,Lee    ,5970,695,74,10.6%,,,,,,,,
0151,06720,Leicester    ,11334,1766,186,10.5%,,,,,,,,
0152,06750,Lenox    ,4827,645,40,6.2%,,,,,,,,
0153,06780,Leominster    ,42408,6316,1040,16.5%,,,,,,,,
0154,06810,Leverett    ,1809,119,6,5.0%,,,,,,,,
0155,06840,Lexington    ,33675,6669,220,3.3%,,,,,,,,
0157,06900,Lincoln    ,6831,941,29,3.1%,,,,,,,,
0695,06930,Lincoln-Sudbury    ,25783,1871,66,3.5%,,,,,,,,
