District Name,District Code,K,1,2,3,4,5,6,7,8,9,10,11,ALL
Abby Kelley Foster Charter Public (District),04450000,   3.4,   1.8,   6.7,   1.7,   3.5,   3.4,   4.2,   6.2,  13.6,   4.6,   6.3,   2.3,   4.9
Abington,00010000,   6.5,   3.5,   5.0,   5.5,   3.1,   1.2,   3.1,   3.7,  17.9,   1.9,   2.0,   5.0,   4.9
Academy Of the Pacific Rim Charter Public (District),04120000,,,,,,  10.0,  17.7,   8.0,  15.1,  11.0,   4.5,   4.4,  10.6
Acton-Boxborough,06000000,   3.3,   3.5,   3.9,   3.6,   3.7,   4.9,   5.9,   1.8,   8.0,   2.4,   3.5,   0.9,   3.8
Acushnet,00030000,   4.9,   3.7,   1.3,   3.7,   4.7,   4.0,   0.0,   5.7,,,,,   3.6
Advanced Math and Science Academy Charter (District),04300000,,,,,,,   2.8,   2.1,   8.3,   3.1,   6.0,   0.0,   3.9
Agawam,00050000,   3.3,   7.6,   2.8,   4.0,   2.7,   2.9,   3.0,   2.1,   8.4,   4.8,   4.3,   1.2,   3.9
Alma del Mar Charter School (District),04090000,   3.8,   3.8,   0.0,   4.0,   8.2,  10.0,   4.1,   2.2,,,,,   4.5
Amesbury,00070000,   8.5,   3.5,   4.3,   2.5,   3.9,   3.8,   4.5,   3.6,  27.1,   6.4,   2.0,   1.3,   5.9
Amherst,00080000,   9.9,   8.1,   7.6,   9.5,   8.8,   9.4,,,,,,,   8.9
Amherst-Pelham,06050000,,,,,,,,   7.5,  11.5,   2.6,   6.0,   0.9,   5.5
Andover,00090000,   3.7,   4.6,   4.3,   4.4,   3.9,   6.7,   3.5,   3.5,  18.4,   3.5,   2.8,   0.9,   5.2
Argosy Collegiate Charter School (District),35090000,,,,,,,   7.5,   8.1,  46.9,  17.9,   6.5,,  18.8
Arlington,00100000,   6.5,   5.4,   5.1,   5.2,   3.7,   6.1,   4.8,   4.5,  17.5,   4.1,   5.8,   3.1,   6.0
